Titulo,Genero,Episodios Totales,Temporadas Totales,Año de estreno,Calificación,Director,Sinopsis,Protagonistas,Trailer
Friends,Comedia,228,10,1994,8.4,Desconocido,"Las aventuras de seis jóvenes neoyorquinos unidos por una divertida amistad. Entre el amor, el trabajo y la familia, comparten sus alegrías y preocupaciones en el Central Perk, su café favorito.","Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc, Matthew Perry",https://www.youtube.com/watch?v=ki6Mbtnl_9I
Los Simpson,Familia,776,36,1989,8.015,Desconocido,"El día a día de una peculiar familia formada por Homer, Marge, Bart, Maggie y Lisa Simpson y otros divertidos personajes de la localidad norteamericana de Springfield. Homer, el padre, es un desastroso inspector de seguridad de una central nuclear. Marge, la madre, es un ama de casa acostumbrada a soportar a su peculiar familia. Bart, de diez años, intenta divertirse con travesuras de todo tipo. Lisa es la más inteligente de la familia, y Maggie, la más pequeña, es un bebé que todavía no habla, pero que juega un importante papel.","Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria",https://www.youtube.com/watch?v=jt14g4XydyY
Sherlock,Crimen,12,4,2010,8.518,Desconocido,"En esta renovada versión de las historias de misterio de Arthur Conan Doyle, el excéntrico detective merodea por las calles del Londres de hoy en día en busca de pistas.","Benedict Cumberbatch, Martin Freeman",https://www.youtube.com/watch?v=rxHtCf2q9GI
The Crown,Drama,60,6,2016,8.2,Desconocido,"Drama sobre las rivalidades políticas y los romances acaecidos durante el reinado de Isabel II, así como de los eventos que moldearían la segunda mitad del siglo XX.","Imelda Staunton, Jonathan Pryce, Lesley Manville, Dominic West, Claudia Harrison",No disponible
La casa del dragón,Sci-Fi & Fantasy,18,2,2022,8.4,Desconocido,"Basada en el libro 'Fuego y Sangre' de George R.R. Martin. La serie se centra en la casa Targaryen, trescientos años antes de los eventos vistos en 'Juego de Tronos'.","Emma D'Arcy, Matt Smith, Olivia Cooke, Patrick Sass",https://www.youtube.com/watch?v=oBFtJUWuGFI
Better Call Saul,Crimen,63,6,2015,8.689,Desconocido,"Esta precuela de ""Breaking Bad"" nominada al Emmy narra la vida del picapleitos Jimmy McGill y su transformación en Saul Goodman, el abogado de moral laxa.","Bob Odenkirk, Jonathan Banks, Rhea Seehorn, Tony Dalton, Giancarlo Esposito",No disponible
The Last of Us,Drama,11,2,2023,8.6,Desconocido,"Año 2023, veinte años después del comienzo de una plaga mundial que infectó a población con un hongo mutado transformando a las personas en unas criaturas caníbales, el contrabandista Joel tiene la misión de escoltar a la adolescente Ellie por un mundo postapocalíptico en el nada va a ser fácil para los viajeros.  Joel todavía vive atormentado por el recuerdo de su única hija. Ellie es portadora de algo que podría cambiar el destino de la humanidad ¿Conseguirán sobrevivir los dos?","Pedro Pascal, Bella Ramsey",https://www.youtube.com/watch?v=jKDWKl7iTUY
Loki,Drama,12,2,2021,8.177,Desconocido,"Loki es llevado ante la misteriosa organización llamada AVT (Autoridad de Variación Temporal) después de los acontecimientos  ocurridos en  ""Avengers: Endgame (2019)"" y  se le da a elegir  enfrentarse a ser borrado de la existencia debido a que es una ""variante de tiempo"" o ayudar a arreglar la línea de tiempo y detener una amenaza mayor.","Tom Hiddleston, Sophia Di Martino, Wunmi Mosaku, Eugene Cordero, Ke Huy Quan",https://www.youtube.com/watch?v=uz1CREWyISo
Bruja Escarlata y Visión,Sci-Fi & Fantasy,9,1,2021,8.228,Desconocido,"Combinando el estilo clásico de las sitcoms con el MCU (Universo Cinematográfico de Marvel), cuenta la historia Wanda Maximoff y Vision, dos seres con superpoderes que viven una vida idílica en las afueras de una ciudad hasta que un día comienzan a sospechar que no todo es lo que parece.","Elizabeth Olsen, Paul Bettany, Kathryn Hahn, Teyonah Parris, Randall Park",https://www.youtube.com/watch?v=tCE4CpxlaqE
Dark,Crimen,26,3,2017,8.42,Desconocido,"Tras la desaparición de un niño, cuatro familias desesperadas tratan de entender lo ocurrido a medida que van desvelando un retorcido misterio que abarca tres décadas.",Louis Hofmann,No disponible
